Species,longitude,latitude
Helianthus angustifolius,-95.63,29.37
Helianthus angustifolius,-94.3,30.96
Helianthus angustifolius,-93.05,30.94
Helianthus angustifolius,-95.01,29.95
Helianthus angustifolius,-88.04,36.8
Helianthus angustifolius,-87.08,36.44
Helianthus angustifolius,-88.85,33.6
Helianthus angustifolius,-90.14,30.49
Helianthus angustifolius,-86.26,35.37
Helianthus angustifolius,-94.96,29.46
Helianthus angustifolius,-85.22,35.62
Helianthus angustifolius,-79.4,33.15
Helianthus angustifolius,-87.04,36.41
Helianthus angustifolius,-95.44,29.78
Helianthus angustifolius,-95.17,30.14
Helianthus angustifolius,-89.97,30.51
Helianthus angustifolius,-87.04,33.16
Helianthus angustifolius,-93.25,30.19
Helianthus angustifolius,-76.98,36.51
Helianthus angustifolius,-92.38,35
Helianthus angustifolius,-79.14,35.82
Helianthus angustifolius,-80.92,35.36
Helianthus angustifolius,-94,32.82
Helianthus angustifolius,-94.08,33.48
Helianthus angustifolius,-94.94,33.79
Helianthus angustifolius,-94.93,33.8
Helianthus angustifolius,-95.45,29.77
Helianthus angustifolius,-87.38,36.07
Helianthus angustifolius,-95.45,29.68
Helianthus angustifolius,-89.13,31.4
Helianthus angustifolius,-95.8,30.03
Helianthus angustifolius,-92.41,34.76
Helianthus angustifolius,-80.16,35
Helianthus angustifolius,-89.8,33.8
Helianthus angustifolius,-94.07,33.44
Helianthus angustifolius,-79.99,35.07
Helianthus angustifolius,-79.99,35.07
Helianthus angustifolius,-89.4,31.34
Helianthus angustifolius,-88.42,30.42
Helianthus angustifolius,-86.41,31.46
Helianthus angustifolius,-93.28,30.63
Helianthus angustifolius,-81.45,28.14
Helianthus angustifolius,-89.4,34.57
Helianthus angustifolius,-89.86,34.07
Helianthus angustifolius,-87.82,30.41
Helianthus angustifolius,-84.94,36.11
Helianthus angustifolius,-81.45,28.14
Helianthus angustifolius,-87.6,30.28
Helianthus angustifolius,-95.45,29.66
Helianthus angustifolius,-94.95,29.46
Helianthus angustifolius,-89.41,31.34
Helianthus angustifolius,-95.11,29.67
Helianthus angustifolius,-89.92,32.54
Helianthus angustifolius,-89.92,32.54
Helianthus angustifolius,-80.24,34.91
Helianthus angustifolius,-95.11,29.67
Helianthus angustifolius,-95.45,29.76
